PLAYER_SK,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
0,1,SC Ganguly,07/08/72,Left-hand bat,Right-arm medium,India
1,2,BB McCullum,9/27/1981,Right-hand bat,Right-arm medium,New Zealand
2,3,RT Ponting,12/19/1974,Right-hand bat,Right-arm medium,Australia
3,4,DJ Hussey,7/15/1977,Right-hand bat,Right-arm offbreak,Australia
4,5,Mohammad Hafeez,10/17/1980,Right-hand bat,Right-arm offbreak,Pakistan
5,6,R Dravid,01/11/73,Right-hand bat,Right-arm offbreak,India
6,7,W Jaffer,2/16/1978,Right-hand bat,Right-arm offbreak,India
7,8,V Kohli,11/05/88,Right-hand bat,Right-arm medium,India
8,9,JH Kallis,10/16/1975,Right-hand bat,Right-arm fast-medium,South Africa
9,10,CL White,8/18/1983,Right-hand bat,Legbreak googly,Australia
10,11,MV Boucher,12/03/76,Right-hand bat,Right-arm medium,South Africa
11,12,B Akhil,10/07/77,Right-hand bat,Right-arm medium-fast,India
12,13,AA Noffke,4/30/1977,Right-hand bat,Right-arm fast-medium,Australia
13,14,P Kumar,10/02/86,Right-hand bat,Right-arm medium,India
14,15,Z Khan,10/07/78,Right-hand bat,Left-arm fast-medium,India
15,16,SB Joshi,06/06/70,Left-hand bat,Slow left-arm orthodox,India
16,17,PA Patel,03/09/85,Left-hand bat,N/A,India
17,18,ML Hayden,10/29/1971,Left-hand bat,Right-arm medium,Australia
18,19,MEK Hussey,5/27/1975,Left-hand bat,Right-arm medium,Australia
19,20,MS Dhoni,07/07/81,Right-hand bat,Right-arm medium,India
20,21,SK Raina,11/27/1986,Left-hand bat,Right-arm offbreak,India
21,22,JDP Oram,7/28/1978,Left-hand bat,Right-arm fast-medium,New Zealand
22,23,S Badrinath,8/30/1980,Right-hand bat,Right-arm offbreak,India
23,24,K Goel,12/24/1986,Left-hand bat,Right-arm offbreak,India
24,25,JR Hopes,10/24/1978,Right-hand bat,Right-arm medium,Australia
25,26,KC Sangakkara,10/27/1977,Left-hand bat,Right-arm offbreak,Sri Lanka
26,27,Yuvraj Singh,12/12/81,Left-hand bat,Slow left-arm orthodox,India
27,28,SM Katich,8/21/1975,Left-hand bat,Slow left-arm chinaman,Australia
28,29,IK Pathan,10/27/1984,Left-hand bat,Left-arm medium-fast,India
29,30,T Kohli,12/17/1988,Right-hand bat,Right-arm medium,India
30,31,YK Pathan,11/17/1982,Right-hand bat,Right-arm offbreak,India
31,32,SR Watson,6/17/1981,Right-hand bat,Right-arm fast-medium,Australia
32,33,M Kaif,12/01/80,Right-hand bat,Right-arm offbreak,India
33,34,DS Lehmann,02/05/70,Left-hand bat,Slow left-arm orthodox,Australia
34,35,RA Jadeja,12/06/88,Left-hand bat,Slow left-arm orthodox,India
35,36,M Rawat,10/25/1985,Right-hand bat,N/A,India
