striker,player_name,batting_hand,total_runs,top_score,hundreds,fiftys,matches,average,total_balls,total_six,total_four,strike_rate
1,SC Ganguly,Left-hand bat,1349,91,0,7,56,24.09,1326,42,137,101.73
2,BB McCullum,Right-hand bat,2755,158,2,13,103,26.75,2181,124,277,126.32
3,RT Ponting,Right-hand bat,91,28,0,0,9,10.11,129,2,5,70.54
4,DJ Hussey,Right-hand bat,1322,71,0,5,61,21.67,1101,60,90,120.07
5,Mohammad Hafeez,Right-hand bat,64,16,0,0,8,8,84,2,7,76.19
6,R Dravid,Right-hand bat,2170,75,0,11,82,26.46,1918,28,268,113.14
7,W Jaffer,Right-hand bat,130,50,0,1,8,16.25,129,3,14,100.78
8,V Kohli,Right-hand bat,4413,113,4,31,141,31.3,3494,159,383,126.3
9,JH Kallis,Right-hand bat,2427,89,0,17,95,25.55,2291,44,255,105.94
10,CL White,Right-hand bat,971,78,0,6,45,21.58,774,38,76,125.45
11,MV Boucher,Right-hand bat,394,50,0,1,23,17.13,318,13,32,123.9
12,B Akhil,Right-hand bat,76,27,0,0,11,6.91,57,5,5,133.33
13,AA Noffke,Right-hand bat,9,9,0,0,1,9,12,0,1,75
14,P Kumar,Right-hand bat,340,34,0,0,57,5.96,323,17,22,105.26
15,Z Khan,Right-hand bat,117,23,0,0,27,4.33,141,2,11,82.98
16,SB Joshi,Left-hand bat,6,3,0,0,2,3,16,0,0,37.5
17,PA Patel,Left-hand bat,2322,81,0,10,116,20.02,2060,35,297,112.72
18,ML Hayden,Left-hand bat,1107,93,0,8,32,34.59,839,44,121,131.94
19,MEK Hussey,Left-hand bat,1977,116,1,15,58,34.09,1648,52,198,119.96
20,MS Dhoni,Right-hand bat,3560,70,0,17,143,24.9,2680,156,251,132.84
21,SK Raina,Left-hand bat,4548,100,1,31,157,28.97,3369,174,402,135
22,JDP Oram,Left-hand bat,106,41,0,0,11,9.64,110,5,6,96.36
23,S Badrinath,Right-hand bat,1441,71,0,11,65,22.17,1245,28,154,115.74
24,K Goel,Left-hand bat,218,38,0,0,16,13.63,239,9,17,91.21
25,JR Hopes,Right-hand bat,417,71,0,4,19,21.95,314,11,49,132.8
26,KC Sangakkara,Left-hand bat,1687,94,0,10,68,24.81,1424,27,195,118.47
27,Yuvraj Singh,Left-hand bat,2591,83,0,12,116,22.34,2050,141,205,126.39
28,SM Katich,Left-hand bat,237,75,0,2,11,21.55,191,8,25,124.08
29,IK Pathan,Left-hand bat,1150,60,0,1,82,14.02,985,38,88,116.75
30,T Kohli,Right-hand bat,11,7,0,0,3,3.67,20,1,0,55
31,YK Pathan,Right-hand bat,2922,100,1,14,133,21.97,2076,149,240,140.75
32,SR Watson,Right-hand bat,2624,104,2,14,98,26.78,1949,122,257,134.63
33,M Kaif,Right-hand bat,259,34,0,0,22,11.77,258,6,22,100.39
34,DS Lehmann,Left-hand bat,18,17,0,0,2,9,19,0,3,94.74
35,RA Jadeja,Left-hand bat,1732,48,0,0,108,16.04,1457,57,125,118.87
36,M Rawat,Right-hand bat,55,23,0,0,11,5,70,1,4,78.57
37,D Salunkhe,Right-hand bat,33,26,0,0,3,11,24,0,5,137.5
38,SK Warne,Right-hand bat,198,34,0,0,27,7.33,219,6,14,90.41
39,SK Trivedi,Right-hand bat,42,9,0,0,14,3,61,1,3,68.85
40,G Gambhir,Left-hand bat,4132,93,0,35,146,28.3,3433,58,484,120.36
41,V Sehwag,Right-hand bat,2728,122,2,16,104,26.23,1833,106,334,148.83
