bowler,player_name,runs,wicket_taken,total_balls,total_six,total_four,matches,economy
1,SC Ganguly,359,10,280,14,25,280,7.68
4,DJ Hussey,467,8,323,25,30,323,8.7
5,Mohammad Hafeez,61,2,63,2,5,63,5.82
8,V Kohli,354,4,264,11,25,264,8.04
9,JH Kallis,2222,65,1799,58,236,1799,7.44
10,CL White,81,1,46,6,5,46,10.56
12,B Akhil,235,6,193,9,18,193,7.32
13,AA Noffke,35,1,25,2,2,25,8.4
14,P Kumar,3106,90,2636,104,338,2636,7.08
15,Z Khan,2691,102,2276,64,312,2276,7.08
16,SB Joshi,82,1,55,5,6,55,8.94
21,SK Raina,1090,25,924,44,71,924,7.08
22,JDP Oram,342,9,244,14,34,244,8.4
24,K Goel,92,0,67,2,9,67,8.22
25,JR Hopes,539,14,369,28,44,369,8.76
27,Yuvraj Singh,1042,36,869,41,56,869,7.2
29,IK Pathan,2561,80,2113,82,291,2113,7.26
31,YK Pathan,1350,41,1166,57,97,1166,6.96
32,SR Watson,2328,86,1960,62,273,1960,7.14
35,RA Jadeja,2457,82,1962,109,158,1962,7.5
37,D Salunkhe,70,1,51,3,6,51,8.22
38,SK Warne,1408,57,1223,56,91,1223,6.9
39,SK Trivedi,1840,65,1557,51,154,1557,7.08
41,V Sehwag,233,6,138,16,19,138,10.14
42,S Dhawan,65,4,49,3,7,49,7.98
44,ST Jayasuriya,375,13,301,16,22,301,7.5
45,DJ Thornely,38,3,44,0,5,44,5.16
48,AM Nayar,311,9,239,13,22,239,7.8
49,SM Pollock,297,11,280,9,30,280,6.36
50,Harbhajan Singh,3295,127,2989,114,243,2989,6.6
52,LRPL Taylor,23,0,13,2,0,13,10.62
53,AC Gilchrist,0,1,1,0,0,1,0
54,Y Venugopal Rao,329,6,222,13,30,222,8.88
56,A Symonds,656,20,540,33,44,540,7.26
57,RG Sharma,425,15,342,14,27,342,7.44
58,SB Styris,270,8,222,14,19,222,7.32
59,SB Bangar,212,4,153,7,24,153,8.34
60,WPUJC Vaas,345,18,288,13,40,288,7.2
61,RP Singh,2230,90,1874,69,254,1874,7.14
63,LR Shukla,429,15,326,16,39,326,7.92
66,B Lee,1042,25,916,25,123,916,6.84
67,PP Chawla,3198,126,2594,135,228,2594,7.38
68,WA Mota,94,4,75,5,4,75,7.5
70,Shahid Afridi,220,9,185,7,19,185,7.14
71,DJ Bravo,2658,122,2110,100,226,2110,7.56
72,MA Khote,51,2,30,2,4,30,10.2
73,A Nehra,2422,106,1974,76,279,1974,7.38
75,Pankaj Singh,453,11,311,17,52,311,8.76
77,S Sreesanth,1112,40,947,39,130,947,7.02
78,VRV Singh,531,12,371,16,58,371,8.58
80,DS Kulkarni,1787,76,1484,56,206,1484,7.2
81,R Vinay Kumar,2858,103,2161,94,290,2161,7.92
82,AB Agarkar,1112,29,820,41,113,820,8.16
83,M Kartik,1341,31,1182,41,97,1182,6.78
84,I Sharma,2124,58,1713,67,258,1713,7.44
85,AM Rahane,5,1,6,0,0,6,4.98
86,Shoaib Malik,77,2,58,3,7,58,7.98
87,MK Tiwary,71,1,38,7,2,38,11.22
89,R Bhatia,1986,71,1661,68,120,1661,7.2
90,MF Maharoof,494,27,441,16,46,441,6.72
91,VY Mahesh,478,21,359,20,47,359,7.98
93,B Chipli,20,0,6,2,1,6,19.98
94,DW Steyn,2209,92,2159,45,264,2159,6.12
98,DNT Zoysa,96,2,69,3,12,69,8.34
99,D Kalyankrishna,85,2,50,4,8,50,10.2
102,Sohail Tanvir,246,22,265,7,27,265,5.58
104,BJ Hodge,294,17,238,14,17,238,7.44
105,Umar Gul,166,12,153,5,17,153,6.48
106,AB Dinda,1987,69,1589,58,232,1589,7.5
108,S Vidyut,21,1,13,2,1,13,9.72
109,JA Morkel,2256,85,1806,56,264,1806,7.5
111,LPC Silva,21,0,6,3,0,6,21
112,DB Ravi Teja,28,1,18,2,1,18,9.36
115,RR Raje,200,6,144,4,23,144,8.34
116,PJ Sangwan,1095,35,836,43,113,836,7.86
117,Mohammad Asif,289,8,199,8,37,199,8.7
118,GD McGrath,352,12,329,10,41,329,6.42
119,Joginder Sharma,402,12,272,17,38,272,8.88
120,MS Gony,1250,37,925,53,135,925,8.1
121,M Muralitharan,1642,64,1581,67,105,1581,6.24
122,M Ntini,238,7,213,8,29,213,6.72
124,A Kumble,1027,45,983,35,72,983,6.24
126,MM Patel,1670,74,1381,53,188,1381,7.26
127,CK Kapugedera,49,0,17,3,5,17,17.28
131,PP Ojha,2261,89,1945,97,146,1945,6.96
133,SR Tendulkar,57,0,37,1,6,37,9.24
135,TM Dilshan,361,5,275,15,27,275,7.86
136,A Mishra,3185,134,2703,149,190,2703,7.08
137,AD Mascarenhas,353,19,310,8,34,310,6.84
140,Iqbal Abdulla,1083,40,943,37,88,943,6.9
142,PM Sarvesh Kumar,41,1,31,0,7,31,7.92
143,DP Vijaykumar,192,4,158,5,23,158,7.32
144,Shoaib Akhtar,50,5,46,2,6,46,6.54
145,Abdur Razzak,23,0,14,1,3,14,9.84
147,DR Smith,787,26,557,33,75,557,8.46
148,SD Chitnis,54,2,38,3,4,38,8.52
149,CRD Fernando,279,17,249,9,30,249,6.72
150,VS Yeligati,53,0,32,2,7,32,9.96
151,L Balaji,1952,76,1574,69,188,1574,7.44
153,RR Powar,501,13,443,18,41,443,6.78
154,JP Duminy,766,23,683,30,50,683,6.72
155,A Flintoff,105,2,66,7,7,66,9.54
156,T Thushara,152,8,144,4,15,144,6.36
157,JD Ryder,297,8,241,13,21,241,7.38
158,KP Pietersen,205,7,180,9,10,180,6.84
159,T Henderson,40,1,36,0,5,36,6.66
160,Kamran Khan,228,10,177,10,25,177,7.74
161,RS Bopara,276,11,213,10,25,213,7.8
162,CH Gayle,675,18,579,27,49,579,7.02
163,MC Henriques,1212,38,918,37,120,918,7.92
165,FH Edwards,144,5,150,2,20,150,5.76
166,KV Sharma,1311,49,1046,75,72,1046,7.5
167,PC Valthaty,199,7,153,7,15,153,7.8
169,AS Raut,44,0,30,1,4,30,8.82
171,M Manhas,42,0,42,1,2,42,6
174,BAW Mendis,295,8,248,12,17,248,7.14
175,DL Vettori,870,28,785,24,67,785,6.66
177,RE van der Merwe,486,21,455,17,25,455,6.42
178,TL Suman,195,6,152,10,8,152,7.68
179,Shoaib Ahmed,151,5,103,7,14,103,8.82
180,GR Napier,27,1,24,1,2,24,6.78
181,KP Appanna,278,9,222,11,20,222,7.5
182,LA Carseldine,5,1,7,0,1,7,4.26
184,SM Harwood,61,3,67,2,6,67,5.46
185,M Vijay,48,0,37,0,6,37,7.8
186,SB Jakati,1422,47,1101,60,97,1101,7.74
188,RJ Harris,998,45,865,27,119,865,6.9
189,D du Preez,55,4,43,1,6,43,7.68
190,M Morkel,2005,77,1699,61,230,1699,7.08
191,AD Mathews,1054,27,807,29,98,807,7.86
192,J Botha,777,25,709,24,59,709,6.6
193,C Nanda,55,2,50,2,1,50,6.6
194,SL Malinga,2766,154,2694,63,277,2694,6.18
195,Mashrafe Mortaza,54,0,28,4,4,28,11.58
196,A Singh,603,28,486,17,67,486,7.44
198,AB McDonald,259,11,188,11,20,188,8.28
199,Y Nagar,117,4,72,6,11,72,9.78
201,R Ashwin,2409,100,2359,90,154,2359,6.12
206,Jaskaran Singh,162,6,111,4,23,111,8.76
209,R Sathish,227,3,144,10,18,144,9.48
210,R McLaren,520,12,372,11,69,372,8.4
211,AA Jhunjhunwala,126,1,88,5,10,88,8.58
213,A Uniyal,64,2,38,3,6,38,10.08
215,YA Abdulla,294,15,222,13,32,222,7.92
217,JM Kemp,51,3,47,1,6,47,6.54
218,S Tyagi,284,6,220,12,34,220,7.74
219,RS Gavaskar,8,0,6,0,1,6,7.98
220,SE Bond,218,9,191,3,27,191,6.84
221,KA Pollard,1688,56,1276,63,139,1276,7.92
222,S Ladda,221,5,141,17,12,141,9.42
223,DP Nannes,734,28,689,15,89,689,6.42
226,S Narwal,195,5,113,13,17,113,10.38
228,Bipul Sharma,557,17,436,31,28,436,7.68
229,FY Fazal,20,0,12,1,1,12,10.02
230,AC Voges,74,0,56,2,8,56,7.92
232,UT Yadav,2616,91,2033,78,303,2033,7.74
233,J Theron,288,11,235,9,28,235,7.38
234,SJ Srivastava,409,14,306,13,50,306,8.04
235,R Sharma,1079,40,935,45,70,935,6.9
238,SW Tait,557,23,534,12,71,534,6.24
240,KAJ Roach,76,0,52,3,10,52,8.76
241,PD Collingwood,100,5,90,3,4,90,6.66
242,CK Langeveldt,178,13,165,8,17,165,6.48
243,VS Malik,254,6,212,6,30,212,7.2
244,A Mithun,448,7,312,21,42,312,8.64
245,AP Dole,105,5,73,4,11,73,8.64
246,AN Ahmed,467,12,362,20,43,362,7.74
248,DE Bollinger,663,37,600,19,73,600,6.66
249,S Sriram,49,0,18,4,4,18,16.32
253,MR Marsh,402,20,327,14,39,327,7.38
254,AJ Finch,66,1,44,4,4,44,9
255,STR Binny,667,21,554,14,66,554,7.2
256,Harmeet Singh,698,27,574,22,69,574,7.32
258,DT Christian,900,30,747,31,78,747,7.2
259,RV Gomez,128,5,97,7,10,97,7.92
261,AUK Pathan,57,0,41,2,5,41,8.34
265,NJ Rimmington,19,0,18,0,3,18,6.36
266,AL Menaria,140,3,113,4,15,113,7.44
267,WD Parnell,651,26,601,11,80,601,6.48
268,JJ van der Wath,125,3,76,6,17,76,9.84
269,R Ninan,65,3,36,5,3,36,10.86
270,S Aravind,1007,45,788,38,105,788,7.68
273,SB Wagh,131,5,108,2,21,108,7.26
274,AC Thomas,394,14,327,11,41,327,7.2
275,JEC Franklin,216,9,155,6,21,155,8.34
276,Shakib Al Hasan,1072,43,947,43,76,947,6.78
278,S Randiv,217,6,180,5,20,180,7.26
280,NLTC Perera,998,31,715,28,113,715,8.4
281,NL McCullum,34,0,30,2,1,30,6.78
282,JE Taylor,152,6,122,9,10,122,7.5
283,J Syed Mohammad,279,8,196,12,18,196,8.52
284,RN ten Doeschate,88,2,83,3,4,83,6.36
286,AG Murtaza,304,9,269,14,22,269,6.78
290,I Malhotra,23,0,6,2,2,6,22.98
